,GENERAL APPEARANCE,MANNER OF SPEAKING,PHYSICAL CONDITION,MENTAL ALERTNESS,SELF-CONFIDENCE,ABILITY TO PRESENT IDEAS,COMMUNICATION SKILLS,Student Performance Rating,TOTAL_SCORE,AVG_SCORE,CLASS
1655,4,4,4,4,4,4,4,5,33,4.125,0
884,5,5,5,5,5,4,5,5,39,4.875,1
2870,4,5,5,3,3,5,3,5,33,4.125,0
631,4,5,4,5,4,4,4,5,35,4.375,1
1186,3,3,3,3,3,3,3,5,26,3.25,0
2713,4,4,4,4,4,4,3,5,32,4.0,1
2540,5,5,5,5,5,5,4,5,39,4.875,0
2188,5,4,5,5,5,5,4,5,38,4.75,1
1933,5,3,5,4,4,4,3,4,32,4.0,0
1137,5,3,4,4,3,4,3,5,31,3.875,0
189,5,3,3,4,3,3,3,5,29,3.625,1
2486,4,5,5,5,5,4,5,5,38,4.75,1
2016,5,5,5,5,5,4,4,4,37,4.625,1
78,4,3,2,3,2,2,3,5,24,3.0,1
1912,4,4,4,3,3,4,3,5,30,3.75,1
2340,4,5,4,4,4,4,4,5,34,4.25,0
616,3,4,3,4,3,4,3,5,29,3.625,1
37,5,5,4,5,4,5,5,5,38,4.75,1
1473,4,4,4,4,4,4,4,5,33,4.125,0
2645,5,5,5,5,5,5,5,5,40,5.0,1
1980,4,4,4,4,4,4,4,4,32,4.0,1
2664,3,3,4,4,4,3,3,4,28,3.5,0
2748,5,5,5,5,4,5,4,5,38,4.75,1
747,4,3,3,4,5,4,3,5,31,3.875,0
266,3,4,4,4,4,4,4,5,32,4.0,1
526,4,3,4,4,4,3,3,5,30,3.75,1
6,4,4,4,3,3,3,3,3,27,3.375,1
619,4,4,4,4,3,4,3,4,30,3.75,1
2280,5,4,3,3,3,4,4,5,31,3.875,0
1211,5,4,5,5,5,4,4,4,36,4.5,1
982,4,3,3,3,4,3,4,5,29,3.625,0
335,5,5,5,5,5,5,5,5,40,5.0,0
2498,4,3,2,4,3,4,3,5,28,3.5,0
98,4,4,3,4,3,4,3,4,29,3.625,0
589,4,3,4,3,4,3,3,5,29,3.625,0
407,4,3,4,3,4,3,3,5,29,3.625,0
1897,3,4,4,4,4,4,4,5,32,4.0,1
1782,5,5,5,4,5,4,5,5,38,4.75,0
2432,3,4,4,4,4,4,4,5,32,4.0,1
2507,4,5,3,5,5,5,3,5,35,4.375,1
2007,3,3,3,3,3,3,3,4,25,3.125,0
93,5,4,4,4,4,4,4,4,33,4.125,1
425,4,4,4,3,3,3,3,5,29,3.625,1
114,5,4,3,3,3,4,4,5,31,3.875,0
1798,4,3,3,3,3,3,3,5,27,3.375,1
1854,5,4,5,5,5,4,4,3,35,4.375,1
1294,5,4,5,4,4,4,4,5,35,4.375,1
405,5,4,5,5,5,4,4,3,35,4.375,1
1875,4,4,4,3,4,3,3,4,29,3.625,0
2752,5,5,5,5,5,4,4,5,38,4.75,1
2189,4,3,3,3,5,3,3,3,27,3.375,0
2889,4,4,4,4,5,5,5,3,34,4.25,1
1645,5,3,3,4,3,3,3,5,29,3.625,1
522,4,5,5,3,3,5,3,5,33,4.125,0
322,4,4,3,4,4,4,4,5,32,4.0,0
2538,4,4,4,4,4,4,4,5,33,4.125,1
444,4,4,3,4,3,4,3,5,30,3.75,0
748,5,4,5,4,4,4,4,5,35,4.375,1
2838,4,4,5,4,4,4,3,5,33,4.125,0
788,3,3,3,4,3,3,3,5,27,3.375,1
1731,4,4,5,4,4,4,4,5,34,4.25,0
671,4,4,4,4,4,4,3,5,32,4.0,0
2696,3,4,3,4,3,4,3,5,29,3.625,1
1574,5,3,5,4,4,3,3,5,32,4.0,1
775,5,4,5,5,5,4,4,5,37,4.625,1
2088,4,3,4,3,3,3,2,5,27,3.375,1
375,3,4,4,4,3,4,4,5,31,3.875,1
2217,5,4,5,5,5,4,4,5,37,4.625,1
2147,4,3,4,2,2,2,2,5,24,3.0,0
1016,4,4,4,4,4,4,4,5,33,4.125,1
244,4,4,4,3,4,3,3,4,29,3.625,0
2556,4,4,4,4,3,3,3,3,28,3.5,0
1676,5,4,5,5,4,4,4,5,36,4.5,0
2363,3,3,3,3,3,3,3,4,25,3.125,0
419,4,4,4,4,3,4,4,5,32,4.0,0
2221,4,4,4,4,3,4,4,5,32,4.0,0
623,3,4,4,3,4,4,3,5,30,3.75,0
1818,4,4,3,3,3,3,3,5,28,3.5,1
1385,5,4,4,4,4,4,3,5,33,4.125,1
1054,5,4,4,4,5,4,5,5,36,4.5,0
902,4,5,4,4,4,4,4,5,34,4.25,0
2425,3,4,4,3,4,4,3,5,30,3.75,0
2825,4,3,4,4,4,3,3,4,29,3.625,1
1143,5,4,5,5,5,4,4,5,37,4.625,1
2916,5,4,5,5,5,5,4,5,38,4.75,1
381,4,4,4,4,4,4,4,5,33,4.125,0
8,4,4,4,4,4,4,4,5,33,4.125,1
783,4,4,4,4,3,4,4,5,32,4.0,0
315,4,3,4,3,4,3,4,5,30,3.75,0
2914,5,4,5,4,4,4,4,5,35,4.375,1
835,5,4,4,4,4,4,3,4,32,4.0,0
2584,5,3,4,4,4,4,3,5,32,4.0,0
530,3,4,3,4,3,4,3,5,29,3.625,1
1766,4,3,4,4,4,3,3,5,30,3.75,1
1705,3,4,4,4,3,4,3,5,30,3.75,1
168,5,4,4,4,4,4,4,5,34,4.25,1
2537,5,3,3,4,3,3,3,5,29,3.625,1
973,4,4,4,4,4,4,4,4,32,4.0,1
1349,5,4,4,4,4,4,4,5,34,4.25,1
2012,5,4,5,4,4,4,4,5,35,4.375,1
532,5,4,4,4,4,4,4,5,34,4.25,1
2394,5,3,3,3,4,3,3,3,27,3.375,0
617,4,4,4,4,4,4,4,5,33,4.125,0
391,5,5,5,5,5,4,4,3,36,4.5,1
382,4,4,4,5,5,4,4,5,35,4.375,0
458,3,3,3,3,3,3,3,5,26,3.25,0
2026,5,4,5,5,5,5,5,5,39,4.875,1
927,4,4,4,4,4,4,4,5,33,4.125,0
2792,4,4,3,4,3,4,3,5,30,3.75,0
1414,4,4,3,4,4,4,4,5,32,4.0,0
831,4,4,4,4,4,4,4,5,33,4.125,0
2828,5,4,5,5,5,5,4,5,38,4.75,1
2101,5,4,5,5,5,5,4,5,38,4.75,1
2,4,3,3,3,3,3,2,5,26,3.25,0
1755,4,3,4,4,4,3,3,5,30,3.75,0
2620,4,4,4,4,4,4,3,5,32,4.0,0
1522,4,4,4,4,4,4,4,5,33,4.125,1
1730,4,4,4,3,3,4,3,5,30,3.75,1
2129,3,3,3,3,4,3,3,3,25,3.125,1
545,4,4,4,3,3,4,3,5,30,3.75,1
2774,4,4,4,3,4,3,3,4,29,3.625,0
138,4,5,5,5,5,4,5,5,38,4.75,1
882,4,3,3,4,3,3,3,3,26,3.25,1
2448,4,4,5,4,4,4,4,5,34,4.25,0
2817,5,5,4,5,5,5,5,5,39,4.875,1
1266,4,5,4,4,4,4,4,5,34,4.25,0
1034,4,3,4,4,4,3,3,5,30,3.75,0
1858,5,3,4,4,3,4,3,5,31,3.875,0
302,5,3,5,4,4,4,3,4,32,4.0,0
115,5,5,5,5,5,5,5,5,40,5.0,1
163,4,3,4,2,2,2,2,5,24,3.0,0
547,4,4,4,4,4,4,3,5,32,4.0,1
2974,4,4,3,4,3,4,3,5,30,3.75,0
2109,4,4,4,4,4,4,3,5,32,4.0,0
1819,4,4,4,3,3,3,3,3,27,3.375,1
1567,5,4,4,4,4,4,3,5,33,4.125,1
1378,4,5,4,4,4,4,4,5,34,4.25,0
1619,4,3,4,2,2,2,2,5,24,3.0,0
242,3,3,3,4,3,3,3,5,27,3.375,1
147,3,4,3,4,3,4,3,5,29,3.625,1
2640,5,4,4,4,4,4,3,5,33,4.125,1
338,5,5,5,5,5,4,5,5,39,4.875,1
1551,4,3,4,3,3,3,3,5,28,3.5,1
1033,5,4,4,4,4,4,4,5,34,4.25,0
2789,3,4,4,3,4,4,3,5,30,3.75,0
2149,5,5,4,5,4,5,4,5,37,4.625,0
2184,4,4,4,5,5,4,4,5,35,4.375,0
1425,5,5,5,4,5,4,5,5,38,4.75,0
1604,4,4,4,3,4,4,3,4,30,3.75,0
1735,4,5,4,4,4,4,4,5,34,4.25,0
